mid,publish_time,user_link,tweet,weibo_link,forward_num,comment_num,like_num,verify_typ,label
4899907629225872,2023-05-10 17:54,https://weibo.com/5684830384?refer_flag=1001030103_,请问大家有厌食醒不过来的状况吗，药按时吃了，连续三四天一天只能勉强一顿饭了。上学体力撑不住，想问问大家都怎么逼自己吃东西的，谢谢。 ​,https://weibo.com/5684830384/MFV3kCI4o,0,2,0,黄V认证,1.0
4898261720629955,2023-05-06 04:54,https://weibo.com/7616396949?refer_flag=1001030103_,我是个遇到事情只会伤害自己的神经病。记录一下第一次正经地划… ​,https://weibo.com/7616396949/MFeeE2DSz,0,3,0,没有认证,1.0
4895743934726340,2023-04-29 06:09,https://weibo.com/7746228776?refer_flag=1001030103_, 睡不着啊！明天还要上班呢 ​,https://weibo.com/7746228776/MEaJHjPxi,0,1,1,没有认证,1.0
4891771186446797,2023-04-18 07:03,https://weibo.com/6569931671?refer_flag=1001030103_,当别人在御守里放桃木和盐晶的时候我已经开始往里放奥沙西泮了纯纯救命药 ​,https://weibo.com/6569931671/MCvo2r36B,0,1,2,没有认证,1.0
4901270768323151,2023-05-14 12:11,https://weibo.com/6039203684?refer_flag=1001030103_,md，糟心死了 ​,https://weibo.com/6039203684/N0x3CyVen,0,0,0,没有认证,1.0
4899962929808471,2023-05-10 21:34,https://weibo.com/7695756825?refer_flag=1001030103_,没有一丁点力气了。 ​,https://weibo.com/7695756825/MFWuwF9D9,0,0,1,没有认证,1.0
4894885871880217,2023-04-26 21:19,https://weibo.com/7795143083?refer_flag=1001030103_, 昨天腿疼的睡不着觉，别告诉我这也是躯体化症状|-| ​,https://weibo.com/7795143083/MDOpJ7T85,0,2,1,没有认证,1.0
4905338749059459,2023-05-25 17:35,https://weibo.com/6116438769?refer_flag=1001030103_,被人造谣而且已经传开了无所谓，你们想怎么样就怎么样吧清者自清 ​,https://weibo.com/6116438769/N2eSSC0Mj,0,1,2,没有认证,1.0
4896417602076968,2023-05-01 02:46,https://weibo.com/7563711239?refer_flag=1001030103_,原来我很重要 ​,https://weibo.com/7563711239/MEsgg8Iju,0,0,1,没有认证,1.0
4903989622344642,2023-05-22 00:15,https://weibo.com/7394807245?refer_flag=1001030103_,好奇怪啊 第一次这么发烧 头热身冷 广东大夏天的晚上盖着厚棉被 等退烧 ​,https://weibo.com/7394807245/N1FMS9PWO,0,0,0,没有认证,1.0
4892414596874364,2023-04-20 01:39,https://weibo.com/7499496626?refer_flag=1001030103_,不喜欢这个世界 ​,https://weibo.com/7499496626/MCM7NsQkQ,0,3,0,没有认证,1.0
4897624618435908,2023-05-04 10:42,https://weibo.com/7718325885?refer_flag=1001030103_,电梯里都是带着袖套的未成年人 2长沙·中南大学湘雅二医院精卫楼 ​,https://weibo.com/7718325885/MEXF3zoz2,0,3,0,没有认证,1.0
4900650325905775,2023-05-12 19:05,https://weibo.com/7294004188?refer_flag=1001030103_,发现自己生病以来，对自己的认识和剖析越来越深刻，对自己的形容也越来越真实（就像撕开伤口直接暴露，不打任何马赛克那种），虽然言语可能仍然透露出一些气愤，一些愤懑，一些踌躇，一些害怕。但勇于迈出这一步已经很勇敢了，不是每个人都有勇气直窥自己内心。反观生病的两三年，自己的很多经历也更多地化为经验，也算是一种财富。心想，等到我们大家到完全痊愈的那天，我们岂不是无敌了，无坚不摧，无所畏惧，无问西东~ ,https://weibo.com/7294004188/N0gUUoMmr,0,2,0,没有认证,1.0
4902045834545289,2023-05-16 15:31,https://weibo.com/5538557480?refer_flag=1001030103_, 我不想做客服，但是现在全是客服的工作，家里人也帮我介绍的是快递客服工作，因为去年干过快递客服所以很排斥干快递客服，天天帮业务员收拾烂摊子导致很害怕接电话害怕被人骂，所以偏头痛很严重，整个人暴瘦，但是家里人就催着我答应下来 ​,https://weibo.com/5538557480/N0RdJj4r7,0,1,3,没有认证,1.0
4892199354107360,2023-04-19 11:24,https://weibo.com/7792079797?refer_flag=1001030103_,姐妹们，我推荐你们去看一下中医，真的，我之前去长沙几个医院检查都有重度抑郁和焦虑，然后我妈妈带我看了一个比较有名的中医，他说我根本就不是抑郁，而是肝那些问题，我之前没有安眠药根本睡不着，医生给我调了我安眠药都戒了，晚上睡的嘎嘎香，中医说，我要是在吃那些药，以后就真成神经病了 ,https://weibo.com/7792079797/MCGwDhevK,1,43,11,没有认证,1.0
